NOC,Year,Population
SYR,2004,17827827
SYR,2008,20664037
SYR,2012,20438861
SYR,2016,17465567
TAN,1964,
TAN,1968,
TAN,1972,
TAN,1980,
TAN,1984,
TAN,1988,
TAN,1992,
TAN,1996,
TAN,2000,
TAN,2004,
TAN,2008,
TAN,2012,
TAN,2016,
TCH,1920,
TCH,1924,
TCH,1928,
TCH,1932,
TCH,1936,
TCH,1948,
TCH,1952,
TCH,1956,
TCH,1960,
TCH,1964,
TCH,1968,
TCH,1972,
TCH,1976,
TCH,1980,
TCH,1984,
TCH,1988,
TCH,1992,
TGA,1984,
TGA,1988,
TGA,1992,
TGA,1996,
TGA,2000,
TGA,2004,
TGA,2008,
TGA,2012,
TGA,2014,
TGA,2016,
THA,1952,15513000
THA,1956,15513000
THA,1960,27397208
THA,1964,30881136
THA,1968,34791418
THA,1972,39058594
THA,1976,43377270
THA,1984,51094870
THA,1988,54891520
THA,1992,57811025
THA,1996,60130190
THA,2000,62952639
THA,2002,64069093
THA,2004,64995303
THA,2006,65812540
THA,2008,66530980
THA,2012,67835969
THA,2014,68438748
THA,2016,68971313
TJK,1996,5851354
TJK,2000,6216329
TJK,2002,6426861
TJK,2004,6662391
TJK,2006,6922590
TJK,2008,7209924
TJK,2010,7527397
TJK,2012,7874838
TJK,2014,8252828
TJK,2016,8663575
TKM,1996,4287337
TKM,2000,4516128
TKM,2004,4703396
TKM,2008,4935765
TKM,2012,5267906
TKM,2016,5662371
TLS,2004,971889
TLS,2008,1055428
TLS,2012,1133002
TLS,2014,1174333
TLS,2016,1219289
TOG,1972,
TOG,1984,
TOG,1988,
TOG,1992,
TOG,1996,
TOG,2000,
TOG,2004,
TOG,2008,
TOG,2012,
TOG,2014,
TOG,2016,
TPE,1956,
TPE,1960,
TPE,1964,
TPE,1968,
TPE,1972,
TPE,1976,
TPE,1984,
TPE,1988,
TPE,1992,
TPE,1994,
TPE,1996,
TPE,1998,
TPE,2000,
TPE,2002,
TPE,2004,
TPE,2006,
TPE,2008,
TPE,2010,
TPE,2012,
TPE,2014,
TPE,2016,
TTO,1948,405000
TTO,1952,476000
TTO,1956,476000
TTO,1964,902620
TTO,1968,930792
TTO,1972,968136
TTO,1976,1025104
TTO,1980,1084743
TTO,1984,1155083
TTO,1988,1204150
TTO,1992,1236685
TTO,1994,1249527
TTO,1996,1257547
TTO,1998,1261699
TTO,2000,1267159
TTO,2002,1277210
TTO,2004,1290115
TTO,2008,1314449
TTO,2012,1344814
TTO,2016,1377563
TUN,1960,4178235
TUN,1964,4461111
TUN,1968,4845220
TUN,1972,5291335
TUN,1976,5786482
TUN,1984,7135265
TUN,1988,7880333
TUN,1992,8613855
TUN,1996,9267335
TUN,2000,9708347
TUN,2004,10022278
TUN,2008,10414425
TUN,2012,10846993
TUN,2016,11303942
TUR,1906,0
TUR,1912,0
TUR,1924,15000000
TUR,1928,15000000
TUR,1932,13877000
TUR,1936,13877000
TUR,1948,14928000
TUR,1952,17821000
TUR,1956,17821000
TUR,1960,27472339
TUR,1964,30244258
TUR,1968,33256465
TUR,1972,36587267
TUR,1976,40189561
TUR,1984,48114158
TUR,1988,52053764
TUR,1992,55748946
TUR,1994,57564209
TUR,1996,59423278
TUR,1998,61329665
TUR,2000,63240196
TUR,2002,65145357
TUR,2004,67010930
TUR,2006,68756809
TUR,2008,70418612
TUR,2010,72326992
TUR,2012,74651046
TUR,2014,77229262
TUR,2016,79827868
TUV,2008,10315
TUV,2012,10744
TUV,2016,11232
UAE,1984,
UAE,1988,
UAE,1992,
UAE,1996,
UAE,2000,
UAE,2004,
UAE,2008,
UAE,2012,
UAE,2016,
UAR,1960,
UGA,1956,4315226.119
UGA,1960,6767092
UGA,1964,7719108
UGA,1968,8841156
UGA,1972,9929644
UGA,1980,12442333
UGA,1984,14082870
UGA,1988,16180129
UGA,1992,18561668
UGA,1996,21032817
UGA,2000,23650159
UGA,2004,26821300
UGA,2008,30431734
UGA,2012,34558700
UGA,2016,39649173
UKR,1994,51921400
UKR,1996,51057800
UKR,1998,50144500
UKR,2000,49176500
UKR,2002,48202470
UKR,2004,47451626
UKR,2006,46787786
UKR,2008,46258189
UKR,2010,45870741
UKR,2012,45593342
UKR,2014,45272155
UKR,2016,45004673
UNK,1912,
URS,1952,
URS,1956,
URS,1960,
URS,1964,
URS,1968,
URS,1972,
URS,1976,
URS,1980,
URS,1984,
URS,1988,
URU,1924,
URU,1928,
URU,1932,
URU,1936,
URU,1948,
URU,1952,
URU,1956,
URU,1960,
URU,1964,
URU,1968,
URU,1972,
URU,1976,
URU,1984,
URU,1988,
URU,1992,
URU,1996,
URU,1998,
URU,2000,
URU,2004,
URU,2008,
URU,2012,
URU,2016,
USA,1896,63302000
USA,1900,63302000
USA,1904,63302000
USA,1906,63302000
USA,1908,63302000
USA,1912,76391000
USA,1920,92767000
USA,1924,92767000
USA,1928,92767000
USA,1932,106881000
USA,1936,106881000
USA,1948,123668000
USA,1952,132637000
USA,1956,132637000
USA,1960,180671000
USA,1964,191889000
USA,1968,200706000
USA,1972,209896000
USA,1976,218035000
USA,1980,227225000
USA,1984,235825000
USA,1988,244499000
USA,1992,256514000
USA,1994,263126000
USA,1996,269394000
USA,1998,275854000
USA,2000,282162411
USA,2002,287625193
USA,2004,292805298
USA,2006,298379912
USA,2008,304093966
USA,2010,309327143
USA,2012,313877662
USA,2014,318386329
USA,2016,323071755
UZB,1994,22377000
UZB,1996,23225000
UZB,1998,24051000
UZB,2000,24650400
UZB,2002,25271850
UZB,2004,25864350
UZB,2006,26488250
UZB,2008,27302800
UZB,2010,28562400
UZB,2012,29774500
UZB,2014,30757700
UZB,2016,31847900
VAN,1988,
VAN,1992,
VAN,1996,
VAN,2000,
VAN,2004,
VAN,2008,
VAN,2012,
VAN,2016,
VEN,1932,2992000
VEN,1948,3300000
VEN,1952,3784000
VEN,1956,3784000
VEN,1960,8141839
VEN,1964,9369101
VEN,1968,10702281
VEN,1972,12097696
VEN,1976,13572210
VEN,1980,15182616
VEN,1984,16876703
VEN,1988,18698850
VEN,1992,20557694
VEN,1996,22385650
VEN,1998,23288567
VEN,2000,24192449
VEN,2002,25100407
VEN,2004,25996594
VEN,2006,26850190
VEN,2008,27635827
VEN,2012,29360827
VEN,2014,30042973
VEN,2016,29851249
VIE,1980,
VIE,1988,
VIE,1992,
VIE,1996,
VIE,2000,
VIE,2004,
VIE,2008,
VIE,2012,
VIE,2016,
VIN,1988,
VIN,1992,
VIN,1996,
VIN,2000,
VIN,2004,
VIN,2008,
VIN,2012,
VIN,2016,
VNM,1952,18972000
VNM,1956,18972000
VNM,1960,32670048
VNM,1964,36780001
VNM,1968,41193588
VNM,1972,45548476
WIF,1960,
YAR,1984,
YAR,1988,
YEM,1992,12954157
YEM,1996,15469274
YEM,2000,17409071
YEM,2004,19540096
YEM,2008,21892149
YEM,2012,24473176
YEM,2016,27168210
YMD,1988,
YUG,1920,
YUG,1924,
YUG,1928,
YUG,1932,
YUG,1936,
YUG,1948,
YUG,1952,
YUG,1956,
YUG,1960,
YUG,1964,
YUG,1968,
YUG,1972,
YUG,1976,
YUG,1980,
YUG,1984,
YUG,1988,
YUG,1992,
ZAM,1964,
ZAM,1968,
ZAM,1972,
ZAM,1980,
ZAM,1984,
ZAM,1988,
ZAM,1992,
ZAM,1996,
ZAM,2000,
ZAM,2004,
ZAM,2008,
ZAM,2012,
ZAM,2016,
ZIM,1928,
ZIM,1960,
ZIM,1964,
ZIM,1980,
ZIM,1984,
ZIM,1988,
ZIM,1992,
ZIM,1996,
ZIM,2000,
ZIM,2004,
ZIM,2008,
ZIM,2012,
ZIM,2014,
ZIM,2016,
